tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio
UHE,UHE Foz do Rio Claro,A-5,Leilão 2/2005,68.4,41,41,108.04,Caçú e São Simão/GO,Água,PIE,281032620.00,Alusa Engenharia Ltda
UHE,UHE São José,A-5,Leilão 2/2005,51,30.4,30,115.8,Salvador das Missões e Rolador / RS,Água,PIE,208985970.00,Alusa Engenharia Ltda
UHE,UHE Passo São João,A-5,Leilão 2/2005,77,39,37,112.55,Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,267595880.00,Eletrosul S.A.
UHE,UHE Simplício,A-5,Leilão 2/2005,337.7,191.3,185,115.38,Sapucaia e Três Rios/RJ e Chiador e Além Paraíba/MG,Água,PIE,1441505800.00,"Furnas
Centrais Elétricas S.A."
UHE,UHE Retiro Baixo,A-5,Leilão 2/2005,82,38.5,36,114.86,Curvelo e Pompeu/MG,Água,PIE,262417880.00,Orteng Equipamentos e Sistemas Ltda.
UHE,UHE Baguari,A-5,Leilão 2/2005,140,80.2,77,115.1,"Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata/MG",Água,PIE,487516620.00,"Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari"
UTE,UTE Candiota III,A-5,Leilão 2/2005,350,303.5,292,124.67,Candiota/RS,Carvão Mineral,PIE,986900000.00,Companhia de Geração Térmica de Energia Elétrica - CGTEE
UTE,UTE Costa Pinto (Ampliação),A-5,Leilão 2/2005,56.14,22,19,138.99,Piracicaba/SP,Bagaço de Cana-de-Açúcar,AP,158641610.00,Cosan S.A. Bioenergia
UTE,UTE Interlagos,A-5,Leilão 2/2005,40,20.7,8,114.96,Pereira Barreto/SP,Bagaço de Cana-de-Açúcar,PIE,68370110.00,Usina Interlagos Ltda.
UTE,UTE Quirinópolis,A-5,Leilão 2/2005,40,11.6,6,104,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,78800000.00,U.S.J. Açúcar e Álcool S.A.
UTE,UTE Goiânia II,A-5,Leilão 2/2005,140,65.3,65,138.94,Aparecida de Goiânia/GO,Óleo Diesel,PIE,232098250.00,"Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco"
UTE,UTE Colorado (Ampliação),A-3,Leilão 2/2006,32,16,8,134.21,Guaíra /SP,Bagaço de Cana-de-Açúcar,PIE,75695000.00,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda
UTE,UTE São José (Ampliação),A-3,Leilão 2/2006,50,28.3,28,134.2,Macatuba/SP,Bagaço de Cana-de-Açúcar,PIE,184640000.00,Açucareira Zillo Lorenzetti S.A.
UTE,UTE Camaçari Polo de Apoio I,A-3,Leilão 2/2006,148,101.4,101,134.3,Camaçari/BA,Óleo Combustível,PIE,250000000.00,"Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC"
UTE,UTE Camaçari Muricy I,A-3,Leilão 2/2006,148,101.4,101,134.42,Camaçari/BA,Óleo Combustível,PIE,250000000.00,Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC
UTE,UTE Santa Izabel (Ampliação),A-3,Leilão 2/2006,40,11.3,11,134.24,Novo Horizonte/SP,Bagaço de Cana-de-Açúcar,AP,65400000.00,Usina Santa Isabel Ltda.
UTE,UTE Potiguar III,A-3,Leilão 2/2006,66,29.5,29,134.25,Macaíba/RN,Óleo Diesel,PIE,55145000.00,Potiguar S.A. – TEP
UTE,UTE Pau Ferro I,A-3,Leilão 2/2006,94,46.5,46,134.31,Igarassú/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,55700000.00,Termomanaus Ltda
UTE,UTE Termomanaus,A-3,Leilão 2/2006,142.24,70.4,70,134.31,Cabo de Santo  Agostinho/PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,75072000.00,Termomanaus Ltda
UTE,UTE Quirinopolis (Ampliação),A-3,Leilão 2/2006,40,11.2,11,134.12,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE,78800000.00,U.S.J. Açúcar e Álcool S.A.
PCH,PCH Barra Escondida,A-3,Leilão 2/2006,2.25,1.25,1,124.99,Saudades/SC,Água,PIE,8216000.00,QBEC Projetos e Consultoria Ltda.
UHE,UHE Dardanelos,A-5,Leilão 4/2006,261,154.9,147,112.68,Aripuanã/MT,Água,PIE,574133830.00,"Companhia Hidro Elétrica do São Francisco - CHESF (24,5%), Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE (24,5%), Neoenergia S.A. (46%), Construtora Norberto Odebrecht (5%), que compõem o Consórcio Aripuanã"
UHE,UHE Mauá,A-5,Leilão 4/2006,361,197.7,192,112.96,Telêmaco Borba e Ortigueira/PR,Água,PIE,882849520.00,"Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul"
UTE,UTE Quatá (Ampliação),A-5,Leilão 4/2006,60,10.5,10,137,Quatá/SP,Bagaço de Cana-de-Açúcar,PIE,109044000.00,Açucareira Quatá S.A.
UTE,UTE Usina Bonfim,A-5,Leilão 4/2006,59,23.4,21,137.6,Guariba/SP,Bagaço de Cana-de-Açúcar,PIE,116140000.00,Corona Bioenergia S.A.
UTE,UTE Ferrari,A-5,Leilão 4/2006,31,8.2,8,138,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE/AP,76816000.00,Ferrari Agorindústria Ltda
UTE,UTE Boa Vista,A-5,Leilão 4/2006,80,36.2,11,134.99,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE/AP,153600000.00,Usina Boa Vista S.A.
UTE,UTE Baia Formosa (Ampliação),A-5,Leilão 4/2006,32,11,11,137.7,Baía Formosa/RN,Bagaço de Cana-de-Açúcar,PIE,41359230.00,Vale Verde Empreendimentos Agrícolas Ltda.
UTE,UTE Palmeiras de Goiás.,A-5,Leilão 4/2006,174.3,69.8,69,137.6,Palmeiras do Goiás/GO,Óleo Diesel,PIE,272969000.00,Energia Elétrica do Brasil Ltda.
UTE,UTE do Atlântico,A-5,Leilão 4/2006,490,419.8,200,136.88,Rio de Janeiro/RJ,Gás de Processo e Vapor de Processo,PIE/AP,1205000000.00,Thyssenkrupp CSA Companhia Siderúrgica
UTE,UTE MPX,A-5,Leilão 1/2007,700,631,615,125.95,Caucaia/CE,Carvão Mineral,PIE,2101430000.00,MPX Mineração e Energia Ltda.
UTE,UTE Termomaranhão,A-5,Leilão 1/2007,350,332.7,315,128.95,São Luiz/MA,Carvão Mineral,PIE,1413000000.00,Diferencial Energia Empreendimentos e Participações Ltda.
UTE,UTE Maracanaú II,A-5,Leilão 1/2007,73.71,53,51,130.95,Pecém/CE,Óleo OCB1,PIE,183000000.00,Thèrmes Participações S.A.
UTE,UTE Suape II,A-5,Leilão 1/2007,355.68,265.4,265,131.49,Cabo de Santo  Agostinho/PE,Óleo Combustível,PIE,590000000.00,"Consórcio MPE Montagens e Projetos Especiais, Petrobras Distribuidora S.A., Ellobras Infra-Estrutura e Participações Ltda., Genrent Participações Ltda., Genpower Energy Participações Ltda."
UTE,UTE Campina Grande,A-3,Leilão 2/2007,164.24,123.6,119,132.83,Campina Grande/PB,"Óleo Combustível B1 (especial)
Alternativo: Óleo Diesel",PIE,369806820.00,Wärtsilä do Brasil Ltda.
UTE,UTE Global I,A-3,Leilão 2/2007,143.84,105.3,105,135.9,Candeias/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,170000000.00,Global Participações em Energia S.A.
UTE,UTE Global II,A-3,Leilão 2/2007,148,109.3,109,135.9,Candeias/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,212000000.00,Global Participações em Energia S.A.
UTE,UTE Itapebi,A-3,Leilão 2/2007,137.6,103.7,103,133.6,Itapebi/BA,"Óleo OCB1
Alternativo: Óleo Diesel",PIE,203025000.00,South Bahia Energia Ltda.
UTE,UTE Maracanaú I,A-3,Leilão 2/2007,162.34,122.9,119,133.13,Maracanaú / CE,Óleo Combustível B1,PIE,355200000.00,Thermes Participações S.A.
UTE,UTE Monte Pascoal,A-3,Leilão 2/2007,137.6,104.8,104,132.8,Eunápolis/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,204310000.00,South Bahia Energia Ltda
UTE,UTE Nova Olinda,A-3,Leilão 2/2007,165,120.8,120,136,Nova Olinda/TO,Óleo combustível B1 especial,PIE,325545380.00,Holdenn Construções Assessoria e Consultoria Ltda.
UTE,UTE Termonordeste,A-3,Leilão 2/2007,170.76,123.8,123,135.97,Santa Cruz/RN,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,162782000.00,"Termomanaus, Ltda."
UTE,UTE Termoparaíba,A-3,Leilão 2/2007,170.8,123.9,123,135.92,Conde/PB,"Óleo Combustível B1
Alternativo: Biodisel e Óleo Diesel",PIE,162782000.00,"Termomanaus, Ltda."
UTE,UTE Tocantinópolis,A-3,Leilão 2/2007,165,120.8,120,135.9,Tocantinópolis/TO,Óleo combustível B1 especial,PIE,325545380.00,Holdenn Construções Assessoria e Consultoria Ltda.
UTE,UTE Viana,A-3,Leilão 2/2007,170.76,121.5,121,133.21,Viana/ES,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,386434720.00,Wärtsilä Brasil Ltda.
UTE,UTE Ester (Ampliação),FA,Leilão 3/2007,30,10.2,7,138.9,Cosmópolis/SP,Bagaço de Cana-de-Açúcar,PIE,70000000.00,Usina Açucareira Ester S.A.
UTE,UTE Florida Paulista (Ampliação),FA,Leilão 3/2007,40,21.8,8,139.12,Flórida Paulista/SP,Bagaço de Cana-de-Açúcar,PIE,63700000.00,Floralco Açúcar e Álcool Ltda.
UTE,UTE Iacanga,FA,Leilão 3/2007,12,7.8,4,138.94,Iacanga/SP,Bagaço de Cana-de-Açúcar,PIE,20990000.00,Usina Iacanga de Açúcar e Álcool Ltda.
UTE,UTE Louis Dreyfus Lagoa da Prata,FA,Leilão 3/2007,60,29.8,19,139.12,Lagoa da Prata/MG,Bagaço de Cana-de-Açúcar,PIE,60240000.00,Louis Dreyfus Commodities Bioenergia S.A.
UTE,UTE Louis Dreyfus Rio Brilhante,FA,Leilão 3/2007,90,48.9,22,139.12,Rio Brilhante/MS,Bagaço de Cana-de-Açúcar,PIE,53000000.00,Louis Dreyfus Commodities Bioenergia S.A.
UTE,UTE Pioneiros II,FA,Leilão 3/2007,50,16.9,12,139.12,Ilha Solteira/SP,Bagaço de Cana-de-Açúcar,PIE,60240000.00,Pioneiros Bioenergia S.A.
UTE,UTE Santa Cruz AB (Ampliação),FA,Leilão 3/2007,50,28,20,138.75,Américo Brasiliense/SP,Bagaço de Cana-de-Açúcar,PIE,57100000.00,Santa Cruz S.A. Açúcar e Álcool
UTE,UTE São João da Boa Vista  (Ampliação),FA,Leilão 3/2007,70,23,23,138.6,São João da Boa Vista/SP,Bagaço de Cana-de-Açúcar,PIE,101300000.00,Dedini Açúcar e Álcool Ltda.
UTE,UTE Xanxerê,FA,Leilão 3/2007,30,27.1,25,138.5,Xanxerê/SC,Biomassa de Resíduo Sólido Avícola (Alternativo: Resíduos de Madeira),PIE,42408700.00,Fenix Energy Comercialização e Geração de Energia Elétrica Ltda.
PCH,PCH Pedra Furada,FA,Leilão 3/2007,6.5,3.19,3,134.97,Ribeirão e Joaquim Nabuco/PE,Água,PIE,39902000.00,"Arrara, Koblitz Energia Participações Ltda."
PCH,PCH Santa Luzia Alto,FA,Leilão 3/2007,28.5,18.42,14,135,São Domingos e Ipauçu/SC,Água,PIE,148438080.00,Construtora Gomes Lourenço Ltda.
UHE,UHE Santo Antônio,Estruturante,Leilão 5/2007,"3,150.40",2218,"1,552",78.87,Porto Velho / RO,Água,PIE,9495381160.00,"Consórcio Madeira Energia - Odebrecht Investimentos em Infra-estrutura Ltda. (17,6%);
Construtora Norberto Odebrecht S/A (1%);
Andrade Gutierrez Participações S/A (12,4%);
Cemig Geração e Transmissão S/A (10%);
Furnas Centrais Elétricas S/A (39%), e
Fundo de Investimentos e Participações Amazônia Energia - FIP dos Bancos Banif e Santander (20%).
"
UTE,UTE São Luiz (Abengoa São Luiz),Reserva,Leilão 1/2008,70,24,8,60.04,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE,264000000.00,Abengoa Bioenergia São Luiz S.A.
UTE,UTE Barra Bioenergia,Reserva,Leilão 1/2008,136,51.5,34,60.04,Barra Bonita/SP,Bagaço de Cana-de-Açúcar,PIE,344696000.00,Barra Bioenergia S.A. – Filial UTE Barra Bioenergia
UTE,UTE Ben Bioenergia,Reserva,Leilão 1/2008,30,26.4,24,58.49,Santa Filomena/PI,"Capim Elefante
(Alternativo: resíduo de madeira)",PIE,101435000.00,"BEN – Bioenergia, Geração e Comercialização de Energia do Nordeste Ltda."
UTE,UTE Bioenergética Vale do Paracatu - BEVAP,Reserva,Leilão 1/2008,80,39.2,20,60.02,João Pinheiro/MG,"Bagaço de Cana-de-Açúcar
(Alternativo: palha de cana-de-açúcar)",PIE,141000000.00,Bioenergética Vale do Paracatu Ltda.
UTE,UTE Biopav II,Reserva,Leilão 1/2008,140,49.6,15,60.02,Brejo Alegre/SP,Bagaço de Cana-de-Açúcar,PIE,210000000.00,Biopav S.A. Açúcar e Álcool.
UTE,UTE Bonfim (Ampliação),Reserva,Leilão 1/2008,45,18.8,10,60.04,Guariba/SP,Bagaço de Cana-de-Açúcar,PIE,261485000.00,Barra Bioenergia S.A. – Filial UTE Bonfim
UTE,UTE Cachoeira Dourada,Reserva,Leilão 1/2008,80,35.5,15,60.04,Cachoeira Dourada/GO,Bagaço de Cana-de-Açúcar,PIE,147763000.00,U.S.J. - Açúcar e Álcool S.A.
UTE,UTE Caçú I,Reserva,Leilão 1/2008,130,35.5,27,60.04,Caçú/GO,Bagaço de Cana-de-Açúcar,PIE,182581000.00,Rio Claro Agroindustrial S.A.
UTE,UTE CBB - Companhia Bioenergética Brasileira,Reserva,Leilão 1/2008,18.1,6,6,59.81,Via Boa/GO,Bagaço de Cana-de-Açúcar,PIE,47680000.00,Alda Participação e Agropecuária S.A.
UTE,UTE Clealco-Queiroz  (Ampliação),Reserva,Leilão 1/2008,35,11.3,7,60.49,Queiroz/SP,Bagaço de Cana-de-Açúcar,PIE,35900000.00,Clealco Açúcar e Álcool S.A.
UTE,UTE Cocal II (Ampliação),Reserva,Leilão 1/2008,120,55.5,22,61,Narandiba/SP,Bagaço de Cana-de-Açúcar,PIE,197500000.00,Cocal Comércio e Indústria Canaã Açúcar e Álcool Ltda.
UTE,UTE Companhia Energética Vale do São Simão,Reserva,Leilão 1/2008,50,12.6,12,59.79,Santa Vitória/MG,Bagaço de Cana-de-Açúcar,PIE,72289000.00,Companhia Energética Vale do São Simão
UTE,UTE Conquista do Pontal,Reserva,Leilão 1/2008,100,26,22,60.04,Mirante do Paranapanema/SP,Bagaço de Cana-de-Açúcar,PIE,157500000.00,Usina Conquista do Pontal S.A
UTE,UTE Decasa,Reserva,Leilão 1/2008,75,43,16,59.9,Caiuá/SP,"Bagaço de Cana-de-Açúcar
(Alternativo: palha e ponta de cana-de-açúcar)",PIE,199000000.00,DECASA - Destilaria de Álcool Caiuá S.A.
UTE,UTE Destilaria Andrade (Ampliação),Reserva,Leilão 1/2008,40.2,20,20,59.8,Pitangueiras/SP,Bagaço de Cana-de-Açúcar,AP c/ EXCEDENTE,76660000.00,"Consórcio Andrade - Ibitiúva Bioenergética S.A. (58,42% - Líder do Consórcio); e Andrade Açúcar e Álcool S.A. (41,58%) "
UTE,UTE Ferrari (Ampliação),Reserva,Leilão 1/2008,65.5,23.2,6,60.76,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE,13365000.00,Ferrari Termoelétrica S.A.
UTE,UTE Jataí,Reserva,Leilão 1/2008,105,41,34,60.04,Jataí/SP,Bagaço de Cana-de-Açúcar,PIE,327780000.00,Cosan Centroeste S.A. Açúcar e Álcool
UTE,UTE Noble Energia,Reserva,Leilão 1/2008,30,16,11,60,Sebatianópolis do Sul/AP,Bagaço de Cana-de-Açúcar,PIE,52500000.00,Usina Noroeste Paulista Ltda.
UTE,UTE Noroeste Paulista,Reserva,Leilão 1/2008,78,20.4,11,59.97,Sebatianópolis do Sul/AP,Bagaço de Cana-de-Açúcar,PIE,80800000.00,Usina Noroeste Paulista Ltda.
UTE,UTE Porto das Águas,Reserva,Leilão 1/2008,70,12.5,12,60.04,Chapadão do Céu/GO,Bagaço de Cana-de-Açúcar,PIE,129658000.00,Usina Porto das Águas Ltda.
UTE,UTE Santa Luzia I,Reserva,Leilão 1/2008,130,35.5,26,60.04,Nova Alvorada do Sul/MS,Bagaço de Cana-de-Açúcar,PIE,182581000.00,Agro Energia Santa Luzia Ltda.
UTE,UTE São Fernando Açúcar e Álcool,Reserva,Leilão 1/2008,48,13.7,5,59.34,Dourados/MS,"Bagaço de Cana-de-Açúcar 
(Alternativo: cavaco de madeira)",PIE,75196000.00,São Fernando Açúcar e Álcool Ltda.
UTE,UTE Ipaussu,Reserva,Leilão 1/2008,62,24.3,19,60.04,Ipaussu/SP,Bagaço de Cana-de-Açúcar,PIE,213413000.00,Barra Bioenergia S.A.
UTE,UTE Unidade de Bioenergia Água Emendada,Reserva,Leilão 1/2008,72.7,27,27,54.73,Mineiros/GO,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.00,Central Energética Água Emendada S.A.
UTE,UTE Unidade de Bioenergia Alto Taquari,Reserva,Leilão 1/2008,72.7,27,27,52.69,Alto Taquari/MT,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.00,Brenco Companhia Brasileira de Energia Renovável
UTE,UTE Unidade de Bioenergia Costa Rica,Reserva,Leilão 1/2008,72.7,27,27,53.74,Costa Rica/MS,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.00,Brenco Companhia Brasileira de Energia Renovável
UTE,UTE Unidade de Bioenergia Morro Vermelho,Reserva,Leilão 1/2008,72.7,27,27,55.87,Mineiros/GO,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.00,Brenco Companhia Brasileira de Energia Renovável
UTE,UTE Vale do Tijuco,Reserva,Leilão 1/2008,45,7.3,7,59.52,Uberaba/MG,Bagaço de Cana-de-Açúcar,PIE,"100 956 000,00",Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda.
UTE,UTE Chapadão Agroenergia,Reserva,Leilão 1/2008,192,39.8,12,60.04,Chapadão do Sul/MS,Bagaço de Cana-de-Açúcar,PIE,340000000.00,Chapadão Agroenergia Ltda.
UTE,UTE Pernambuco IV,A-3,Leilão 2/2008,200.79,112.4,107,130.97,Igarassu/PE,"Óleo Combustível Especial B1
Alternativo:  Óleo Diesel",PIE,329383000.00,Consórcio Pernambuco IV - Multiner S.A. (99% - Líder do Consórcio); e A&G Energia Empreendimentos Ltda. - ME (1%)
UTE,UTE Santa Rita de Cássia,A-3,Leilão 2/2008,174.6,97.8,93,129.79,Santa Rita/PB,"Óleo Combustível Especial B1
Alternativo:  Óleo Diesel",PIE,285259000.00,Consórcio Santa Rita de Cássia - Multiner S.A. (90% - Líder do Consórcio); e Gênesis 2000 Exploração e Produção de Hidrocarbonetos Ltda. (10%)
UTE,UTE José de Alencar,A-3,Leilão 2/2008,300,173.3,169,131.41,Caucaia/CE,Gás Natural Liquefeito,PIE,631249000.00,"Consórcio Agroenergia -  Thermes Participações S.A. (99,952%) e Agroenergia do Norte S.A. (0,047%)  "
UTE,UTE MC2 Catu,A-3,Leilão 2/2008,176,105.7,102,126.85,Catu/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA1 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Lltda. 99,99%"
UTE,UTE MC2 Camaçari 1,A-3,Leilão 2/2008,176,105.7,102,125.85,Camaçari/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA1 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Dias Dávila 1,A-3,Leilão 2/2008,176,105.7,102,126.35,Dias Dávila/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA 2 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Dias Dávila 2,A-3,Leilão 2/2008,176,105.7,102,125.35,Dias Dávila/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA2 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Feira de Santana,A-3,Leilão 2/2008,176,105.2,101,127.85,Feira de Santana/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EC RS BA - Ellocin Brasil Participações e Consultoria Empresarial Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE Linhares,A-3,Leilão 2/2008,204,98.7,96,130,Linhares/ES,Gás Natural,PIE,283148000.00,Consórcio Linhares - Linhares Energia Ltda (50%) e Fundo de Investimento em Participações Brasil Energia (50%)
UTE,UTE MC2 Senhor do Bonfim,A-3,Leilão 2/2008,176,105.7,102,127.84,SP,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA3 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE Cacimbaes,A-5,Leilão 3/2008,126.59,66.2,64,145,Linhares/ES,Gás Natural,PIE,261572000.00,"Consórcio Termo Cacimbaes - Thermes Participações S.A. (99,999%) e Spectrum Energy Partners Consultoria Ltda (0,001%) "
UTE,UTE Cauhyra I,A-5,Leilão 3/2008,148,68.1,68,146,Cariacica/ES,Óleo Combustível B1,PIE,220000000.00,Hexagonal Construções Ltda.
UTE,UTE Escolha,A-5,Leilão 3/2008,337.56,194.1,189,144.5,Cariacica/ES,Gás Natural,PIE,634363000.00,"Consórcio Termo Escolha - Thermes Participações S.A. (33,333%), Spectrum Energy Partners Consultoria Ltda (0,001%) e Trana Construções S.A. (66,666%)"
UTE,UTE Iconha,A-5,Leilão 3/2008,184,104.1,100,146,Iconha/ES,Óleo Combustível 1B,PIE,230850000.00,"Consórcio MC2 BE ES - Benco Energia Ltda. (10%) e
Águas Guariroba Ambiental Ltda. (90%)"
UTE,UTE MC2 Camaçari 2,A-5,Leilão 3/2008,176,103.3,99,145.98,Camaçari/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda.(0,01%) e
Águas Guariroba Aambiental Ltda. (99,99%)"
UTE,UTE MC2 Camaçari 3,A-5,Leilão 3/2008,176,103.3,99,145.97,Camaçari/BA,Óleo Combustível,PIE,327160000.00,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba ambiental ltda. 99,99%"
UTE,UTE MC2 Governador Mangabeira,A-5,Leilão 3/2008,176,103.3,99,146,Governador Mangabeira/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 João Neiva,A-5,Leilão 3/2008,330,233.3,225,146,João Neiva/ES,Gás Natural Regaseificado (a partir de GNL),PIE,685867000.00,"Consórcio MC2 GP ES RN - Genpower Energy Participações Ltda. (0,01%) e Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Joinville,A-5,Leilão 3/2008,330,233.3,225,146,Nova Venécia/ES,Gas Natural,PIE,685867000.00,"Consórcio MC2 EC ES RS - Ellocin Brasil Participações e Consultoria Empresarial Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Macaíba,A-5,Leilão 3/2008,400,232.6,224,146,Macaíba/RN,Óleo Combustível,PIE,641110000.00,"Consórcio MC2 GP ES RN - Genpower Energy Participações Lltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Messias,A-5,Leilão 3/2008,176,101.4,97,146,Messias/A.L,Óleo Combustível,PIE,260000000.00,"Consórcio MC2 EB MA AL SE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Nossa Senhora do Socorro,A-5,Leilão 3/2008,176,100.5,97,146,Nossa Senhora do Socorro/SE,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB MA AL SE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Nova Venecia 2,A-5,Leilão 3/2008,176,101.6,98,146,Nova Venécia/ES,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 GP ES RN - Genpower Energy Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Pecem 2,A-5,Leilão 3/2008,350,208.4,201,146,Caucaia/CE,Óleo Combustível,PIE,560413000.00,"Consórcio MC2 GP CE - Genpower Energy Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Rio Largo,A-5,Leilão 3/2008,176,101.4,97,146,MessiaS.A.L,Óleo Combustível,PIE,260000000.00,"Consórcio MC2 EB MA AL SE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Santo Antonio de Jesus,A-5,Leilão 3/2008,176,103.3,99,145.99,Simões Filho/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA PE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Sapeaçu,A-5,Leilão 3/2008,176,103.3,99,146,Sapeaçu/BA,Óleo Combustível,PIE,327130000.00,"Consórcio MC2 EB BA PE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE MC2 Suape II B,A-5,Leilão 3/2008,350,208.4,201,146,Suape/PE,Óleo Combustível,PIE,560414000.00,"Consórcio MC2 EB BA PE - Ellobras Infraestrutura e Participações Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)"
UTE,UTE Paraúna,A-5,Leilão 3/2008,114,44.7,35,0,Paraúna/GO,Bagaço de Cana-de-Açúcar,PIE,344422000.00,Cosan Centroeste S.A. Açúcar e Álcool
UTE,UTE Pernambuco III,A-5,Leilão 3/2008,200.79,109.2,104,144.7,Igarassu/PE,"Óleo Combustível Especial B1
Alternativo:  Óleo Diesel",PIE,329383000.00,Consórcio PE III - Multiner S.A. (99%) e A&G Energia Empreendimentos Ltda ME (1%)
UTE,UTE Porto do Pecém II,A-5,Leilão 3/2008,360,294.7,276,140,São Gonçalo do Amarante/CE,Carvão Mineral Importado,PIE,878689000.00,MPX Energia S.A.
